#ASTRONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sign;name;;;;;;;;;;;;;;;;;quant;;;cost;;;;weight;;;;;;;;;;;;;;;;;;
; Бампер в сборе *Республика Корея;;;;;;;;;;;;;;шт;;;3;;;983.94;;;;2 951.82;;;;;0%;;;;;;;;2 951.82;;;;;0.02121
; Бачок омывателя *Инвойс 21/2018 от 22.08.2018 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;60;;;;60;;;;;0%;;;;;;;;60;;;;;0.000559
; Блок управления *Инвойс 38/0919 от 06.09.2019 *Германия;;;;;;;;;;;;;;шт;;;2;;;1 600.00;;;;3 200.00;;;;;0%;;;;;;;;3 200.00;;;;;0.0008
; Вентилятор охлаждения двигателя в сборе *Инвойс 51/1119 от 07.11.2019 *Германия;;;;;;;;;;;;;;шт;;;2;;;1 260.35;;;;2 520.70;;;;;0%;;;;;;;;2 520.70;;;;;0.003876
; Вискомуфта *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;350;;;;350;;;;;0%;;;;;;;;350;;;;;0.0008
; Глушитель *Инвойс 53/1119 от 21.11.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;900;;;;900;;;;;0%;;;;;;;;900;;;;;0.008
; Дверь б/у *Великобритания;;;;;;;;;;;;;;шт;;;2;;;1 150.68;;;;2 301.36;;;;;0%;;;;;;;;2 301.36;;;;;0.03
; Двигатель бензиновый бывший в употреблении *Германия;;;;;;;;;;;;;;шт;;;2;;;9 439.85;;;;18 879.70;;;;;0%;;;;;;;;18 879.70;;;;;0.15
; Двигатель дизельный б/у *Великобритания;;;;;;;;;;;;;;шт;;;2;;;6 392.27;;;;12 784.54;;;;;0%;;;;;;;;12 784.54;;;;;0.24
; Двигатель стеклоочистителя в сборе  *Великобритания;;;;;;;;;;;;;;шт;;;1;;;32.7;;;;32.7;;;;;0%;;;;;;;;32.7;;;;;0.001028
; Домкрат в сборе *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;37.62;;;;37.62;;;;;0%;;;;;;;;37.62;;;;;0.00225
; Заглушка пластмассовая *Республика Корея;;;;;;;;;;;;;;шт;;;2;;;229.55;;;;459.1;;;;;0%;;;;;;;;459.1;;;;;0.0005
; Замок зажигания *Инвойс 26/0619 от 28.06.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;15;;;;30;;;;;0%;;;;;;;;30;;;;;0.00112
; Заслонка дроссельная в сборе *Инвойс 58/1219 от 26.12.2019 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;39.24;;;;39.24;;;;;0%;;;;;;;;39.24;;;;;0.001032
; Зеркало наружное (оптически обработанное) в сборе *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;4;;;15.29;;;;61.16;;;;;0%;;;;;;;;61.16;;;;;0.004968
; Капот *Германия;;;;;;;;;;;;;;шт;;;2;;;1 092.41;;;;2 184.82;;;;;0%;;;;;;;;2 184.82;;;;;0.02
; Кардан рулевой *Инвойс 37/0819 от 28.08.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;350;;;;350;;;;;0%;;;;;;;;350;;;;;0.0009
; Катушка зажигания в сборе *Инвойс 18/2018 от 27.06.2018 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;19.62;;;;39.24;;;;;0%;;;;;;;;39.24;;;;;0.0002
; Компрессор кондиционера в сборе *Инвойс 18/0320 от 26.03.2020 *Великобритания;;;;;;;;;;;;;;шт;;;13;;;145.17;;;;1 887.21;;;;;0%;;;;;;;;1 887.21;;;;;0.07774
; Коробка передач механическая *Великобритания;;;;;;;;;;;;;;шт;;;5;;;1 417.97;;;;7 089.85;;;;;0%;;;;;;;;7 089.85;;;;;0.175
; Коробка передач автоматическая *Великобритания;;;;;;;;;;;;;;шт;;;2;;;4 212.43;;;;8 424.86;;;;;0%;;;;;;;;8 424.86;;;;;0.14
; Кронштейн (крепление) бампера *Республика Корея;;;;;;;;;;;;;;шт;;;3;;;241.04;;;;723.12;;;;;0%;;;;;;;;723.12;;;;;0.00081
; Крыло в сборе *Великобритания;;;;;;;;;;;;;;шт;;;3;;;277.28;;;;831.84;;;;;0%;;;;;;;;831.84;;;;;0.00708
; Крышка багажника *Инвойс 27/0619 от 29.06.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;1 200.00;;;;1 200.00;;;;;0%;;;;;;;;1 200.00;;;;;0.027289
; Крюк буксировочный *Инвойс 12/0419 от 19.04.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;385.83;;;;771.66;;;;;0%;;;;;;;;771.66;;;;;0.001
; Маховик в сборе *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;2;;;370.35;;;;740.7;;;;;0%;;;;;;;;740.7;;;;;0.033428
; Молдинг *Инвойс 07/0319 от 21.03.2019 *Великобритания;;;;;;;;;;;;;;шт;;;8;;;56.24;;;;449.92;;;;;0%;;;;;;;;449.92;;;;;0.001336
; Рамка передняя  *Инвойс 000015 от 11.02.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;350;;;;350;;;;;0%;;;;;;;;350;;;;;0.0007
; Щиток (блок) приборов *Инвойс 18/0519 от 10.05.2019 *Германия;;;;;;;;;;;;;;шт;;;2;;;90;;;;180;;;;;0%;;;;;;;;180;;;;;0.0018
; Педаль в сборе *Инвойс 02/0120 от 21.01.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;57.56;;;;57.56;;;;;0%;;;;;;;;57.56;;;;;0.000647
; Ноускат (совокупность деталей передней части автомобиля, включающая: бампер, его усилитель, переднюю оптику, рамку радиатора, радиаторы) *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;5 493.18;;;;5 493.18;;;;;0%;;;;;;;;5 493.18;;;;;0.05428
; Панель управления печкой *Инвойс 07/0319 от 21.03.2019 *Великобритания;;;;;;;;;;;;;;шт;;;3;;;15;;;;45;;;;;0%;;;;;;;;45;;;;;0.0018
; Переключатель рулевой колонки  *Инвойс 07/0319 от 21.03.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;17;;;;34;;;;;0%;;;;;;;;34;;;;;0.000734
; Поддон *Инвойс 000008 от 24.10.2018 *Германия;;;;;;;;;;;;;;шт;;;1;;;500;;;;500;;;;;0%;;;;;;;;500;;;;;0.001
; Подкрылок (защита крыла) в сборе  *Великобритания;;;;;;;;;;;;;;шт;;;2;;;155.64;;;;311.28;;;;;0%;;;;;;;;311.28;;;;;0.00266
; Подлокотник *Инвойс 44/1019 от 04.10.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;250;;;;500;;;;;0%;;;;;;;;500;;;;;0.0028
; Радиатор масляный (теплообменник) *Инвойс 55/1119 от 28.11.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;650;;;;1 300.00;;;;;0%;;;;;;;;1 300.00;;;;;0.0018
; Рейка рулевая в сборе *Инвойс 27/0619 от 29.06.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;950;;;;950;;;;;0%;;;;;;;;950;;;;;0.010446
; Рейлинг в сборе *Германия;;;;;;;;;;;;;;шт;;;1;;;318.62;;;;318.62;;;;;0%;;;;;;;;318.62;;;;;0.00253
; Ролик двери сдвижной в сборе *Инвойс 04/0220 от 05.02.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;219.72;;;;219.72;;;;;0%;;;;;;;;219.72;;;;;0.000714
; Руль (рулевое колесо) в сборе *Великобритания;;;;;;;;;;;;;;шт;;;1;;;281.21;;;;281.21;;;;;0%;;;;;;;;281.21;;;;;0.00296
; Ручка двери наружная б/у *Инвойс 39/0919 от 10.09.2019 *Великобритания;;;;;;;;;;;;;;шт;;;3;;;220;;;;660;;;;;0%;;;;;;;;660;;;;;0.000798
; Рычаг подвески в сборе *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;181.07;;;;181.07;;;;;0%;;;;;;;;181.07;;;;;0.002333
; Стартер *Германия;;;;;;;;;;;;;;шт;;;1;;;1 318.94;;;;1 318.94;;;;;0%;;;;;;;;1 318.94;;;;;0.0018
; Стеклоподъемный механизм в сборе *Инвойс 14/0320 от 07.03.2020 *Великобритания;;;;;;;;;;;;;;шт;;;7;;;85.02;;;;595.14;;;;;0%;;;;;;;;595.14;;;;;0.0168
; Стойка подвески в сборе (МакФерсон) *Германия;;;;;;;;;;;;;;шт;;;2;;;1 705.94;;;;3 411.88;;;;;0%;;;;;;;;3 411.88;;;;;0.029
; Ступица *Инвойс 000011 от 01.12.2018 *Германия;;;;;;;;;;;;;;шт;;;2;;;30;;;;60;;;;;0%;;;;;;;;60;;;;;0.005
; Суппорт в сборе *Германия;;;;;;;;;;;;;;шт;;;6;;;44.67;;;;268.02;;;;;0%;;;;;;;;268.02;;;;;0.01464
; ТНВД (насос топливный дизельный) в сборе *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;6 689.47;;;;13 378.94;;;;;0%;;;;;;;;13 378.94;;;;;0.009
; Усилитель бампера *Инвойс 15/0320 от 13.03.2020 *Германия;;;;;;;;;;;;;;шт;;;1;;;543.18;;;;543.18;;;;;0%;;;;;;;;543.18;;;;;0.004336
; Усилитель тормозов (цилиндр вакуумный) в сборе *Республика Корея;;;;;;;;;;;;;;шт;;;1;;;167.99;;;;167.99;;;;;0%;;;;;;;;167.99;;;;;0.00554
; Фара в сборе *Германия;;;;;;;;;;;;;;шт;;;3;;;169.31;;;;507.93;;;;;0%;;;;;;;;507.93;;;;;0.00834
; Фара противотуманная *Инвойс 55/1119 от 28.11.2019 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;75;;;;75;;;;;0%;;;;;;;;75;;;;;0.0001
; Фонарь в сборе *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;8;;;85.02;;;;680.16;;;;;0%;;;;;;;;680.16;;;;;0.011912
; Форсунка в сборе *Инвойс 06/0220 от 11.02.2020 *Великобритания;;;;;;;;;;;;;;шт;;;9;;;19.62;;;;176.58;;;;;0%;;;;;;;;176.58;;;;;0.004689
; Электроусилитель руля *Инвойс 53/1119 от 21.11.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;450;;;;450;;;;;0%;;;;;;;;450;;;;;0.0017
